024a660e-d6c4-4f91-9904-edb8dd8ceb88 404 ::1 GET /bootstrap/js/bootstrap.bundle.min.js.map 20.383 [Tue, 12 Oct 2021 11:27:47 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
4d677c5e-4116-4fa5-a8ac-11d918cf002a 200 ::1 GET /dashboard 27.480 [Tue, 12 Oct 2021 11:27:55 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
841be8c0-9075-480d-a59b-c42bb2bd4e8a 404 ::1 GET /bootstrap/js/bootstrap.bundle.min.js.map 16.030 [Tue, 12 Oct 2021 11:27:55 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
eac08530-4fa3-4ad9-b857-e1f1d779131d 200 ::1 GET /dashboard 37.936 [Tue, 12 Oct 2021 11:28:42 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
2760ef66-65a6-4af7-90e9-213b9dbbe9c3 304 ::1 GET /dashboard 17.332 [Tue, 12 Oct 2021 11:29:09 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
5716c6a2-15f6-4a70-9386-d2bb80e71e92 304 ::1 GET /dashboard 11.999 [Tue, 12 Oct 2021 11:29:19 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
c0fc79bc-9ca6-4c75-aae1-a851e1c78f4d 200 ::1 GET / 38.496 [Tue, 12 Oct 2021 11:31:47 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
9de5defa-d4b4-4b7e-a9db-82e7d41cfc28 200 ::1 GET / 40.087 [Tue, 12 Oct 2021 11:32:45 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
63adc552-3eab-421f-b3ef-0cb128676561 200 ::1 GET / 34.241 [Tue, 12 Oct 2021 11:33:05 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
c5ed5708-3a85-4814-8263-573990643458 200 ::1 GET / 36.017 [Tue, 12 Oct 2021 11:33:21 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
